/Display_name,/Product_code,/Version
Visual Studio Code,,1.62.3
Safari,,13.0.5
PyCharm CE,,2022.2
DB Browser for SQLite,,3.12.2
Free Download Manager,,6.14.2
Xcode,,11.0
XProtect,,68
Appium Server GUI,,1.22.0
Accessibility Inspector,,5.0
FileMerge,,2.11
Reality Composer,,1.0
Instruments,,11.0
Create ML,,0.5
MobileDeviceUpdater,,1.0
MRT,,1.93
Docker,,3.6.0
Appium Inspector,,2021.9.2
pgAdmin 4,,6.1
Accessibility Inspector,,5.0
Simulator,,11.0
Xcode Server Builder,,1.0
Python,,3.8.5
Python Launcher,,3.8.5
Python,,3.9.6
Uninstall VMware Tools,,10.3.10
Git Gui,,0.21.GITGUI
AppleMobileSync,,5.0
AppleMobileDeviceHelper,,5.0
Remove,,
Proof,,
Match,,
Embed,,
Extract,,
Show Info,,
Rename,,
Set Info,,
Fax Receive Monitor,,1.71
FAX Utility,,1.73
EPFaxAutoSetupTool,,1.71
rastertoepfax,,1.71
commandFilter,,1.71
epsonfax,,1.71
Cocoa-AppleScript Applet,,1.0
Canon IJScanner2,,4.0.0
Canon IJScanner6,,4.0.0
Canon IJScanner4,,4.0.0
EPSON Scanner,,5.7.24
AirScanLegacyDiscovery,,15
AirScanLegacyDiscovery,,15

/Total Softwares Installed
290
