/Display_name,/Name,/Process_id,/Start_mode,/State,/Status
,com.apple.coredatad,0,,,0
,com.apple.remindd,630,,,0
,com.apple.appsleep,0,,,0
,com.apple.coreservices.useractivityd,584,,,0
,com.apple.screencaptureui.agent,0,,,0
,com.apple.cvmsCompAgent3600_x86_64_1,0,,,0
,com.apple.ContainerRepairAgent,0,,,0
,com.apple.netauth.user.auth,0,,,0
,com.apple.siri-distributed-evaluation,998,,,0
,com.apple.ViewBridgeAuxiliary,565,,,0
,com.apple.mbbackgrounduseragent,0,,,0
,com.apple.cvmsCompAgent_x86_64,3695,,,0
,com.apple.lsd,453,,,0
,com.apple.siri.context.service,597,,,0
,com.apple.weibo.xpc,0,,,0
,com.apple.pluginkit.pkd,537,,,0
,com.apple.security.XPCTimeStampingService,0,,,0
,com.apple.cache_delete,1103,,,0
,com.apple.AMPDeviceDiscoveryAgent,634,,,0
,com.apple.accessibility.dfrhud,0,,,0
,com.apple.CallHistorySyncHelper,0,,,0
,com.apple.colorsync.useragent,0,,,0
,com.apple.Safari.1052,0,,,0
,com.apple.parsecd,644,,,0
,com.apple.Dock.agent,600,,,0
,com.apple.parsec-fbf,648,,,0
,com.apple.dmd,551,,,0
,com.apple.transparencyd,1527,,,0
,com.apple.AppSSOAgent,563,,,0
,com.apple.mbuseragent,0,,,0
,com.apple.security.cloudkeychainproxy3,616,,,0
,com.apple.UserEventAgent-Aqua,523,,,0
,com.apple.followupd,612,,,0
,com.apple.ReportPanic,0,,,0
,com.apple.xpc.launchd.oneshot.0x10000007.Upwork,598,,,0
,com.apple.identityservicesd,535,,,0
,com.apple.telephonyutilities.callservicesd,572,,,0
,com.apple.DwellControl,0,,,0
,com.apple.XProtect.agent.scan,1682,,,0
,com.apple.security.DiskUnmountWatcher,0,,,0
,com.apple.CoreLocationAgent,586,,,0
,com.apple.SecureBackupDaemon,529,,,0
,com.apple.security.agent,0,,,0
,com.apple.cfnetwork.AuthBrokerAgent,0,,,0
,com.apple.cloudpaird,688,,,0
,com.apple.storedownloadd,1115,,,0
,com.apple.SpacesTouchBarAgent.app,0,,,0
,com.apple.coreparsec.silhouette,1104,,,0
,com.apple.coreservices.sharedfilelistd,531,,,0
,com.apple.pboard,553,,,0
,com.apple.nowplayingtouchui,0,,,0
,com.apple.MobileAccessoryUpdater.fudHelperAgent,0,,,0
,com.apple.reversetemplated,0,,,0
,com.apple.SafariCloudHistoryPushAgent,0,,,0
,com.apple.AskPermissionUI,0,,,0
,com.apple.thermaltrap,0,,,0
,com.apple.rapportd,532,,,0
,com.apple.SoftwareUpdateNotificationManager,745,,,0
,com.apple.accounts.dom,0,,,0
,com.apple.metadata.mdflagwriter,0,,,0
,com.apple.DictionaryServiceHelper,0,,,0
,com.apple.speech.speechsynthesisd,808,,,0
,com.apple.mdworker.shared,0,,,0
,com.apple.usermanagerhelper,0,,,0
,com.apple.installandsetup.migrationhelper.user,0,,,0
,com.apple.SafeEjectGPUService,670,,,0
,com.apple.imdpersistence.IMDPersistenceAgent,580,,,0
,com.apple.TrustEvaluationAgent,0,,,0
,com.apple.preference.displays.MirrorDisplays,0,,,0
,com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A,625,,,0
,com.apple.accountsd,541,,,0
,com.apple.cdpd,619,,,0
,com.apple.routined,542,,,0
,com.apple.KeyboardAccessAgent,0,,,0
,com.apple.storelegacy,0,,,0
,com.apple.OSDUIHelper,0,,,0
,com.apple.audio.AudioComponentRegistrar,730,,,0
,com.apple.AssetCacheLocatorService,0,,,0
,com.apple.lockoutagent,546,,,0
,com.apple.locationmenu,0,,,0
,com.apple.videosubscriptionsd,0,,,0
,com.apple.pbs,623,,,0
,com.apple.notificationcenterui.agent,550,,,0
,com.apple.protectedcloudstorage.protectedcloudkeysyncing,620,,,0
,com.apple.imklaunchagent,579,,,0
,com.apple.FileProvider,1107,,,0
,com.apple.imcore.imtransferagent,0,,,0
,com.apple.btsa,0,,,0
,com.apple.icdd,633,,,0
,com.apple.EscrowSecurityAlert,963,,,0
,com.apple.xpc.launchd.oneshot.0x10000003.Safari,533,,,0
,com.apple.metadata.mdwrite,0,,,0
,com.apple.loginwindow.LWWeeklyMessageTracer,0,,,0
,com.apple.CalendarAgent,545,,,0
,com.apple.securityuploadd,0,,,0
,com.apple.RapportUIAgent,0,,,0
,com.apple.siriknowledged,1072,,,0
,com.apple.powerchime,0,,,0
,com.apple.sharingd,564,,,0
,com.apple.iCloudUserNotificationsd,0,,,0
,com.apple.storeassetd,0,,,0
,com.apple.familycircled,574,,,0
,com.apple.FontRegistryUIAgent,0,,,0
,com.apple.TextInputSwitcher,0,,,0
,com.apple.AMPArtworkAgent,1132,,,0
,com.apple.imagent,576,,,0
,com.apple.sidecar-relay,0,,,0
,com.apple.photoanalysisd,1084,,,0
,com.apple.syncservices.SyncServer,0,,,0
,com.apple.imautomatichistorydeletionagent,1526,,,0
,com.apple.SystemUIServer.agent,601,,,0
,com.apple.ATS.FontValidatorConduit,0,,,0
,com.apple.talagent,566,,,0
,com.apple.suggestd,577,,,0
,com.apple.navd,0,,,0
,com.apple.RemoteDesktop.agent,0,,,0
,com.apple.amsaccountsd,693,,,0
,com.apple.VoiceOver,0,,,0
,com.apple.AssistiveControl,0,,,0
,com.apple.icloud.fmfd,588,,,0
,com.apple.CoreSimulator.SimulatorTrampoline,0,,,0
,com.apple.CoreSimulator.CoreSimulatorService,0,,,0
,com.apple.mdworker.shared.05000000-0600-0000-0000-000000000000,3479,,,0
,com.apple.secd,454,,,0
,com.apple.hiservices-xpcservice,575,,,0
,com.apple.mdworker.shared.0E000000-0500-0000-0000-000000000000,3212,,,0
,com.apple.BKAgentService,1131,,,0
,com.apple.cvmsCompAgent_x86_64_1,0,,,0
,com.apple.tencentweibo.xpc,0,,,0
,com.apple.mdworker.shared.08000000-0300-0000-0000-000000000000,1542,,,0
,com.apple.FCiCloudPrefUpdater,0,,,0
,com.apple.xpc.launchd.oneshot.0x10000006.GitHub Desktop,583,,,0
,com.apple.assistantd,643,,,0
,com.apple.studentd,1512,,,0
,com.apple.FollowUpUI,0,,,0
,com.apple.videoconference.camera,0,,,0
,com.apple.corespotlightservice,0,,,0
,com.apple.uikitsystemapp,0,,,0
,com.apple.controlstrip,0,,,0
,com.google.Chrome.11252,0,,,0
,com.apple.mediaanalysisd,0,,,0
,com.apple.DiskArbitrationAgent,0,,,0
,com.apple.exchange.exchangesyncd,0,,,0
,com.apple.scopedbookmarksagent.xpc,1089,,,0
,com.apple.ReportCrash,831,,,0
,com.apple.UsageTrackingAgent,578,,,0
,com.apple.email.maild,0,,,0
,com.apple.xpc.launchd.oneshot.0x10000002.Preview,526,,,0
,com.apple.menuextra.battery.helper,0,,,0
,com.apple.appleseed.seedusaged.postinstall,0,,,0
,com.apple.Maps.mapspushd,567,,,0
,com.apple.voicememod,0,,,0
,com.apple.gamed,0,,,0
,com.apple.STMUIHelper,0,,,0
,com.apple.knowledge-agent,530,,,0
,com.apple.midiserver,0,,,0
,com.apple.backgroundtaskmanagementagent,527,,,0
,com.apple.mobiledeviceupdater,0,,,0
,com.apple.helpd,0,,,0
,com.apple.quicklook.ui.helper,0,,,0
,com.apple.wifi.WiFiAgent,0,,,0
,com.apple.screensharing.MessagesAgent,0,,,0
,com.apple.diskspaced,1133,,,0
,com.apple.passd,0,,,0
,com.apple.DictationIM,0,,,0
,com.apple.mdmclient.agent,0,,,0
,com.apple.iCloudHelper,0,,,0
,com.apple.mdworker.shared.04000000-0700-0000-0000-000000000000,2637,,,0
,com.apple.cvmsCompAgent3425AMD_x86_64,0,,,0
,com.apple.linkedin.xpc,0,,,0
,com.apple.security.XPCKeychainSandboxCheck,0,,,0
,com.apple.mdworker.single,0,,,0
,com.apple.mdworker.shared.01000000-0400-0000-0000-000000000000,2151,,,0
,com.apple.podcasts.PodcastContentService,1130,,,0
,com.apple.mdworker.shared.03000000-0600-0000-0000-000000000000,2633,,,0
,com.apple.twitter.xpc,0,,,0
,com.apple.CoreAuthentication.agent,521,,,0
,com.apple.mdworker.shared.0A000000-0300-0000-0000-000000000000,2153,,,0
,com.apple.syncdefaultsd,0,,,0
,com.apple.sidecar-display-agent,0,,,0
,com.apple.accessibility.heard,0,,,0
,com.apple.corespeechd,678,,,0
,com.apple.scrod,0,,,0
,com.apple.spindump_agent,639,,,0
,com.apple.xpc.launchd.oneshot.0x10000005.Google Chrome,540,,,0
,com.apple.AquaAppearanceHelper,0,,,0
,com.apple.security.keychain-circle-notification,622,,,0
,com.apple.icloud.findmydeviced.findmydevice-user-agent,0,,,0
,com.github.GitHubClient.ShipIt,1293,,,0
,com.google.keystone.user.agent,0,,,0
,com.apple.ap.adservicesd,0,,,0
,com.apple.AirPortBaseStationAgent,0,,,0
,com.apple.proactiveeventtrackerd,0,,,0
,com.apple.universalaccessd,525,,,0
,com.apple.accessibility.MotionTrackingAgent,0,,,0
,com.apple.neagent,0,,,0
,com.apple.SafariLaunchAgent,662,,,0
,com.apple.idsfoundation.IDSRemoteURLConnectionAgent,0,,,0
,com.apple.recentsd,0,,,0
,com.apple.WiFiVelocityAgent,0,,,0
,com.apple.usernoted,543,,,0
,com.apple.SafariPlugInUpdateNotifier,0,,,0
,com.apple.AddressBook.abd,0,,,0
,com.apple.ScreenReaderUIServer,0,,,0
,com.apple.xpc.launchd.oneshot.0x10000008.Terminal,599,,,0
,com.apple.swcd,642,,,0
,com.apple.AirPlayUIAgent,687,,,0
,com.apple.corespotlightd,641,,,0
,com.apple.netauth.user.gui,0,,,0
,com.apple.xtyped,568,,,0
,com.apple.TMHelperAgent,0,,,0
,com.apple.Spotlight,629,,,0
,com.apple.appstoreagent,1074,,,0
,com.apple.AMPDevicesAgent,0,,,0
,com.apple.accessibility.mediaaccessibilityd,0,,,0
,com.apple.cvmsCompAgent3425AMD_x86_64_1,0,,,0
,com.apple.mdworker.sizing,452,,,0
,com.apple.SpeechRecognitionCore.brokerd,0,,,0
,com.apple.metadata.mdbulkimport,0,,,0
,com.apple.iokit.IOServiceAuthorizeAgent,0,,,0
,com.apple.mdworker.shared.0F000000-0500-0000-0000-000000000000,2154,,,0
,com.apple.Safari.History,626,,,0
,com.apple.mdworker.shared.09000000-0300-0000-0000-000000000000,2152,,,0
,com.apple.cvmsCompAgent3600_x86_64,0,,,0
,com.apple.CoreRoutine.helperservice,0,,,0
,com.apple.distnoted.xpc.agent,455,,,0
,com.apple.geod,624,,,0

/Total Servcies Running
160
