/Display_name,/Product_code,/Version
erlang-runtime-tools,,1:23.0.3-1
erlang-snmp,,1:23.0.3-1
erlang-ssl,,1:23.0.3-1
erlang-syntax-tools,,1:23.0.3-1
erlang-tftp,,1:23.0.3-1
erlang-tools,,1:23.0.3-1
erlang-xmerl,,1:23.0.3-1
espeak-ng-data:amd64,,1.49.2+dfsg-1
ethtool,,1:4.15-0ubuntu1
evince,,3.28.4-0ubuntu1.2
evince-common,,3.28.4-0ubuntu1.2
evolution-data-server,,3.28.5-0ubuntu0.18.04.3
evolution-data-server-common,,3.28.5-0ubuntu0.18.04.3
example-content,,50
fakeroot,,1.22-2ubuntu1
fdisk,,2.31.1-0.4ubuntu3.7
file,,1:5.32-2ubuntu0.4
file-roller,,3.28.0-1ubuntu1.3
findutils,,4.6.0+git+20170828-2
firefox,,94.0+build3-0ubuntu0.18.04.1
firefox-locale-en,,94.0+build3-0ubuntu0.18.04.1
fontconfig,,2.12.6-0ubuntu2
fontconfig-config,,2.12.6-0ubuntu2
fonts-beng,,2:1.2
fonts-beng-extra,,1.0-6
fonts-dejavu-core,,2.37-1
fonts-dejavu-extra,,2.37-1
fonts-deva,,2:1.2
fonts-deva-extra,,3.0-4
fonts-droid-fallback,,1:6.0.1r16-1.1
fonts-freefont-ttf,,20120503-7
fonts-gargi,,2.0-4
fonts-gubbi,,1.3-3
fonts-gujr,,2:1.2
fonts-gujr-extra,,1.0-6
fonts-guru,,2:1.2
fonts-guru-extra,,2.0-4
fonts-indic,,2:1.2
fonts-kacst,,2.01+mry-14
fonts-kacst-one,,5.0+svn11846-9
fonts-kalapi,,1.0-2
fonts-khmeros-core,,5.0-7ubuntu1
fonts-knda,,2:1.2
fonts-lao,,0.0.20060226-9ubuntu1
fonts-lato,,2.0-2
fonts-liberation,,1:1.07.4-5
fonts-liberation2,,2.00.1-7~18.04.2
fonts-lklug-sinhala,,0.6-3
fonts-lohit-beng-assamese,,2.91.5-1
fonts-lohit-beng-bengali,,2.91.5-1
fonts-lohit-deva,,2.95.4-2
fonts-lohit-gujr,,2.92.4-2
fonts-lohit-guru,,2.91.2-1
fonts-lohit-knda,,2.5.4-1
fonts-lohit-mlym,,2.92.2-1
fonts-lohit-orya,,2.91.2-1
fonts-lohit-taml,,2.91.3-1
fonts-lohit-taml-classical,,2.5.4-1
fonts-lohit-telu,,2.5.5-1
fonts-mlym,,2:1.2
fonts-nakula,,1.0-3
fonts-navilu,,1.2-2
fonts-noto-cjk,,1:20170601+repack1-2
fonts-noto-color-emoji,,0~20180424-0ubuntu1
fonts-noto-mono,,20171026-2
fonts-opensymbol,,2:102.10+LibO6.0.7-0ubuntu0.18.04.10
fonts-orya,,2:1.2
fonts-orya-extra,,2.0-5
fonts-pagul,,1.0-7
fonts-sahadeva,,1.0-4
fonts-samyak-deva,,1.2.2-4
fonts-samyak-gujr,,1.2.2-4
fonts-samyak-mlym,,1.2.2-4
fonts-samyak-taml,,1.2.2-4
fonts-sarai,,1.0-2
fonts-sil-abyssinica,,1.500-1
fonts-sil-padauk,,3.003-1
fonts-smc,,1:7.0
fonts-smc-anjalioldlipi,,7.0-2
fonts-smc-chilanka,,1.2.0-2
fonts-smc-dyuthi,,2.0-1
fonts-smc-karumbi,,1.0-1
fonts-smc-keraleeyam,,2.0-1
fonts-smc-manjari,,1.5.1-1
fonts-smc-meera,,7.0-2
fonts-smc-rachana,,7.0-2
fonts-smc-raghumalayalamsans,,2.1.1-2
fonts-smc-suruma,,3.2.1-1
fonts-smc-uroob,,2.0-1
fonts-taml,,2:1.3
fonts-telu,,2:1.2
fonts-telu-extra,,2.0-4
fonts-thai-tlwg,,1:0.6.4-2
fonts-tibetan-machine,,1.901b-5
fonts-tlwg-garuda,,1:0.6.4-2
fonts-tlwg-garuda-ttf,,1:0.6.4-2
fonts-tlwg-kinnari,,1:0.6.4-2
fonts-tlwg-kinnari-ttf,,1:0.6.4-2
fonts-tlwg-laksaman,,1:0.6.4-2
fonts-tlwg-laksaman-ttf,,1:0.6.4-2
fonts-tlwg-loma,,1:0.6.4-2
fonts-tlwg-loma-ttf,,1:0.6.4-2
fonts-tlwg-mono,,1:0.6.4-2
fonts-tlwg-mono-ttf,,1:0.6.4-2
fonts-tlwg-norasi,,1:0.6.4-2
fonts-tlwg-norasi-ttf,,1:0.6.4-2
fonts-tlwg-purisa,,1:0.6.4-2
fonts-tlwg-purisa-ttf,,1:0.6.4-2
fonts-tlwg-sawasdee,,1:0.6.4-2
fonts-tlwg-sawasdee-ttf,,1:0.6.4-2
fonts-tlwg-typewriter,,1:0.6.4-2
fonts-tlwg-typewriter-ttf,,1:0.6.4-2
fonts-tlwg-typist,,1:0.6.4-2
fonts-tlwg-typist-ttf,,1:0.6.4-2
fonts-tlwg-typo,,1:0.6.4-2
fonts-tlwg-typo-ttf,,1:0.6.4-2
fonts-tlwg-umpush,,1:0.6.4-2
fonts-tlwg-umpush-ttf,,1:0.6.4-2
fonts-tlwg-waree,,1:0.6.4-2
fonts-tlwg-waree-ttf,,1:0.6.4-2
fonts-ubuntu,,0.83-2
foomatic-db-compressed-ppds,,20180306-1
friendly-recovery,,0.2.38
ftp,,0.17-34
fuse,,2.9.7-1ubuntu1
fwupd,,1.2.10-1ubuntu2~ubuntu18.04.5
fwupd-signed,,1.10~ubuntu18.04.4+1.2.10-1ubuntu2~ubuntu18.04.5
fwupdate,,10-3
fwupdate-signed,,1.18+10-3
g++,,4:7.4.0-1ubuntu2.3
g++-7,,7.5.0-3ubuntu1~18.04
gcc,,4:7.4.0-1ubuntu2.3
gcc-7,,7.5.0-3ubuntu1~18.04
gcc-7-base:amd64,,7.5.0-3ubuntu1~18.04
gcc-8-base:amd64,,8.4.0-1ubuntu1~18.04
gcr,,3.28.0-1
gdb,,8.1-0ubuntu3
gdbserver,,8.1-0ubuntu3
gdebi-core,,0.9.5.7+nmu2
gdisk,,1.0.3-1
gdm3,,3.28.3-0ubuntu18.04.6
gedit,,3.28.1-1ubuntu1
gedit-common,,3.28.1-1ubuntu1
genisoimage,,9:1.1.11-3ubuntu2
geoclue-2.0,,2.4.7-1ubuntu1
geoip-database,,20180315-1
gettext,,0.19.8.1-6ubuntu0.3
gettext-base,,0.19.8.1-6ubuntu0.3
ghostscript,,9.26~dfsg+0-0ubuntu0.18.04.14
ghostscript-x,,9.26~dfsg+0-0ubuntu0.18.04.14
gir1.2-accountsservice-1.0,,0.6.45-1ubuntu1.3
